nome;id_aluno;dominio_email;email
MARIA;235;@outlook.com;maria@outlook.com
ANA;43;@terra.com.br;ana@terra.com.br
FRANCISCA;304;@yahoo.com;francisca@yahoo.com
ANTONIA;156;@yahoo.com;antonia@yahoo.com
ADRIANA;343;@gmail.com;adriana@gmail.com
JULIANA;310;@gmail.com;juliana@gmail.com
MARCIA;55;@outlook.com;marcia@outlook.com
FERNANDA;288;@terra.com.br;fernanda@terra.com.br
PATRICIA;379;@outlook.com;patricia@outlook.com
ALINE;92;@yahoo.com;aline@yahoo.com
SANDRA;174;@terra.com.br;sandra@terra.com.br
CAMILA;218;@outlook.com;camila@outlook.com
AMANDA;217;@outlook.com;amanda@outlook.com
BRUNA;34;@yahoo.com;bruna@yahoo.com
JESSICA;185;@yahoo.com;jessica@yahoo.com
LETICIA;347;@outlook.com;leticia@outlook.com
JULIA;191;@hotmail.com;julia@hotmail.com
LUCIANA;163;@hotmail.com;luciana@hotmail.com
VANESSA;42;@outlook.com;vanessa@outlook.com
MARIANA;10;@terra.com.br;mariana@terra.com.br
GABRIELA;200;@hotmail.com;gabriela@hotmail.com
VERA;287;@gmail.com;vera@gmail.com
VITORIA;80;@outlook.com;vitoria@outlook.com
LARISSA;173;@gmail.com;larissa@gmail.com
CLAUDIA;16;@outlook.com;claudia@outlook.com
BEATRIZ;49;@hotmail.com;beatriz@hotmail.com
RITA;12;@terra.com.br;rita@terra.com.br
LUANA;240;@terra.com.br;luana@terra.com.br
SONIA;242;@gmail.com;sonia@gmail.com
RENATA;328;@gmail.com;renata@gmail.com
ELIANE;172;@outlook.com;eliane@outlook.com
JOSEFA;103;@gmail.com;josefa@gmail.com
SIMONE;284;@gmail.com;simone@gmail.com
NATALIA;192;@hotmail.com;natalia@hotmail.com
CRISTIANE;350;@terra.com.br;cristiane@terra.com.br
CARLA;262;@outlook.com;carla@outlook.com
DEBORA;338;@hotmail.com;debora@hotmail.com
ROSANGELA;333;@terra.com.br;rosangela@terra.com.br
JAQUELINE;76;@terra.com.br;jaqueline@terra.com.br
ROSA;297;@yahoo.com;rosa@yahoo.com
APARECIDA;238;@yahoo.com;aparecida@yahoo.com
DANIELA;296;@gmail.com;daniela@gmail.com
MARLENE;268;@gmail.com;marlene@gmail.com
TEREZINHA;158;@yahoo.com;terezinha@yahoo.com
RAIMUNDA;259;@hotmail.com;raimunda@hotmail.com
ANDREIA;37;@outlook.com;andreia@outlook.com
FABIANA;358;@hotmail.com;fabiana@hotmail.com
LUCIA;241;@terra.com.br;lucia@terra.com.br
RAQUEL;391;@terra.com.br;raquel@terra.com.br
ANGELA;249;@hotmail.com;angela@hotmail.com
RAFAELA;27;@gmail.com;rafaela@gmail.com
JOANA;102;@terra.com.br;joana@terra.com.br
LUZIA;276;@hotmail.com;luzia@hotmail.com
ELAINE;233;@yahoo.com;elaine@yahoo.com
REGINA;281;@outlook.com;regina@outlook.com
DANIELE;25;@hotmail.com;daniele@hotmail.com
SUELI;14;@outlook.com;sueli@outlook.com
DAIANE;303;@gmail.com;daiane@gmail.com
ALESSANDRA;193;@hotmail.com;alessandra@hotmail.com
ISABEL;83;@gmail.com;isabel@gmail.com
SARA;32;@terra.com.br;sara@terra.com.br
BIANCA;21;@outlook.com;bianca@outlook.com
FLAVIA;60;@outlook.com;flavia@outlook.com
ERICA;228;@terra.com.br;erica@terra.com.br
VIVIANE;396;@hotmail.com;viviane@hotmail.com
SILVANA;278;@yahoo.com;silvana@yahoo.com
PRISCILA;122;@yahoo.com;priscila@yahoo.com
PAULA;212;@outlook.com;paula@outlook.com
LUIZA;108;@hotmail.com;luiza@hotmail.com
TEREZA;151;@outlook.com;tereza@outlook.com
ISABELA;73;@outlook.com;isabela@outlook.com
MARTA;265;@gmail.com;marta@gmail.com
CAROLINE;232;@yahoo.com;caroline@yahoo.com
JANAINA;53;@hotmail.com;janaina@hotmail.com
LAURA;246;@outlook.com;laura@outlook.com
MARLI;180;@hotmail.com;marli@hotmail.com
TATIANE;203;@hotmail.com;tatiane@hotmail.com
MARINA;324;@hotmail.com;marina@hotmail.com
SILVIA;115;@yahoo.com;silvia@yahoo.com
MONICA;329;@terra.com.br;monica@terra.com.br
TAIS;179;@yahoo.com;tais@yahoo.com
MICHELE;253;@hotmail.com;michele@hotmail.com
SOLANGE;7;@yahoo.com;solange@yahoo.com
EDNA;275;@gmail.com;edna@gmail.com
FATIMA;126;@yahoo.com;fatima@yahoo.com
HELENA;221;@hotmail.com;helena@hotmail.com
CRISTINA;381;@yahoo.com;cristina@yahoo.com
ALICE;273;@gmail.com;alice@gmail.com
CAROLINA;96;@gmail.com;carolina@gmail.com
ROSANA;166;@yahoo.com;rosana@yahoo.com
ANDRESSA;213;@hotmail.com;andressa@hotmail.com
CELIA;367;@hotmail.com;celia@hotmail.com
VALERIA;377;@outlook.com;valeria@outlook.com
ELIANA;372;@hotmail.com;eliana@hotmail.com
SABRINA;1;@terra.com.br;sabrina@terra.com.br
ANDREA;292;@hotmail.com;andrea@hotmail.com
TANIA;211;@terra.com.br;tania@terra.com.br
BARBARA;201;@terra.com.br;barbara@terra.com.br
THAIS;148;@outlook.com;thais@outlook.com
DENISE;39;@outlook.com;denise@outlook.com
ROSELI;171;@hotmail.com;roseli@hotmail.com
GISELE;298;@hotmail.com;gisele@hotmail.com
MARILENE;149;@terra.com.br;marilene@terra.com.br
KATIA;145;@outlook.com;katia@outlook.com
EVA;13;@outlook.com;eva@outlook.com
MILENA;371;@hotmail.com;milena@hotmail.com
EDUARDA;342;@gmail.com;eduarda@gmail.com
ELISANGELA;56;@gmail.com;elisangela@gmail.com
VILMA;31;@gmail.com;vilma@gmail.com
GEOVANA;300;@outlook.com;geovana@outlook.com
LUCIENE;22;@gmail.com;luciene@gmail.com
TAMIRES;121;@gmail.com;tamires@gmail.com
TATIANA;161;@hotmail.com;tatiana@hotmail.com
ROBERTA;143;@hotmail.com;roberta@hotmail.com
ELZA;380;@yahoo.com;elza@yahoo.com
TALITA;94;@gmail.com;talita@gmail.com
MARCELA;261;@terra.com.br;marcela@terra.com.br
PAMELA;189;@gmail.com;pamela@gmail.com
VANIA;285;@gmail.com;vania@gmail.com
IRENE;190;@gmail.com;irene@gmail.com
JOSIANE;178;@gmail.com;josiane@gmail.com
LIVIA;106;@hotmail.com;livia@hotmail.com
CINTIA;6;@hotmail.com;cintia@hotmail.com
IVONE;289;@gmail.com;ivone@gmail.com
LAIS;280;@yahoo.com;lais@yahoo.com
BENEDITA;20;@yahoo.com;benedita@yahoo.com
SEBASTIANA;30;@gmail.com;sebastiana@gmail.com
TAINA;79;@terra.com.br;taina@terra.com.br
JOICE;357;@hotmail.com;joice@hotmail.com
MIRIAN;135;@outlook.com;mirian@outlook.com
ELIZABETE;197;@terra.com.br;elizabete@terra.com.br
ANGELICA;370;@hotmail.com;angelica@hotmail.com
GABRIELE;72;@outlook.com;gabriele@outlook.com
BRENDA;95;@yahoo.com;brenda@yahoo.com
VERONICA;274;@yahoo.com;veronica@yahoo.com
ROSILENE;387;@hotmail.com;rosilene@hotmail.com
KARINA;36;@hotmail.com;karina@hotmail.com
NAIR;129;@outlook.com;nair@outlook.com
NEUSA;75;@yahoo.com;neusa@yahoo.com
MARGARIDA;54;@terra.com.br;margarida@terra.com.br
NEUZA;23;@yahoo.com;neuza@yahoo.com
NEIDE;325;@outlook.com;neide@outlook.com
RAISSA;286;@yahoo.com;raissa@yahoo.com
MAIARA;301;@terra.com.br;maiara@terra.com.br
LORENA;91;@yahoo.com;lorena@yahoo.com
FRANCIELE;316;@terra.com.br;franciele@terra.com.br
SAMARA;352;@gmail.com;samara@gmail.com
LILIAN;397;@terra.com.br;lilian@terra.com.br
JANETE;334;@terra.com.br;janete@terra.com.br
CICERA;399;@hotmail.com;cicera@hotmail.com
GIOVANA;176;@yahoo.com;giovana@yahoo.com
SEVERINA;5;@yahoo.com;severina@yahoo.com
LARA;160;@hotmail.com;lara@hotmail.com
CLEIDE;368;@yahoo.com;cleide@yahoo.com
NICOLE;182;@gmail.com;nicole@gmail.com
CECILIA;144;@outlook.com;cecilia@outlook.com
YASMIN;386;@yahoo.com;yasmin@yahoo.com
CONCEICAO;153;@terra.com.br;conceicao@terra.com.br
INGRID;81;@gmail.com;ingrid@gmail.com
SELMA;118;@terra.com.br;selma@terra.com.br
LEILA;157;@terra.com.br;leila@terra.com.br
RAIANE;247;@gmail.com;raiane@gmail.com
ESTER;202;@gmail.com;ester@gmail.com
REGIANE;308;@yahoo.com;regiane@yahoo.com
MARISA;105;@outlook.com;marisa@outlook.com
EUNICE;62;@terra.com.br;eunice@terra.com.br
KELLY;109;@terra.com.br;kelly@terra.com.br
TAINARA;128;@gmail.com;tainara@gmail.com
IARA;82;@outlook.com;iara@outlook.com
JOELMA;394;@terra.com.br;joelma@terra.com.br
MARINALVA;243;@gmail.com;marinalva@gmail.com
TERESINHA;45;@yahoo.com;teresinha@yahoo.com
REBECA;165;@yahoo.com;rebeca@yahoo.com
GERALDA;314;@hotmail.com;geralda@hotmail.com
CLEONICE;90;@hotmail.com;cleonice@hotmail.com
ALEXANDRA;317;@yahoo.com;alexandra@yahoo.com
MARA;375;@gmail.com;mara@gmail.com
JENIFER;353;@gmail.com;jenifer@gmail.com
ELIZANGELA;250;@hotmail.com;elizangela@hotmail.com
LILIANE;299;@outlook.com;liliane@outlook.com
LIDIA;167;@yahoo.com;lidia@yahoo.com
IRACEMA;168;@outlook.com;iracema@outlook.com
LIDIANE;389;@hotmail.com;lidiane@hotmail.com
IRACI;8;@outlook.com;iraci@outlook.com
MARILIA;282;@gmail.com;marilia@gmail.com
SHEILA;116;@terra.com.br;sheila@terra.com.br
INES;319;@terra.com.br;ines@terra.com.br
NAIARA;229;@outlook.com;naiara@outlook.com
POLIANA;369;@terra.com.br;poliana@terra.com.br
DALVA;137;@outlook.com;dalva@outlook.com
LURDES;346;@yahoo.com;lurdes@yahoo.com
TERESA;264;@hotmail.com;teresa@hotmail.com
ZILDA;237;@outlook.com;zilda@outlook.com
LUCILENE;146;@gmail.com;lucilene@gmail.com
CLARA;277;@hotmail.com;clara@hotmail.com
ROSANE;227;@gmail.com;rosane@gmail.com
IVONETE;222;@terra.com.br;ivonete@terra.com.br
LUCIANE;50;@yahoo.com;luciane@yahoo.com
ISADORA;38;@terra.com.br;isadora@terra.com.br
NILZA;35;@yahoo.com;nilza@yahoo.com
JOSE;331;@outlook.com;jose@outlook.com
JOAO;24;@hotmail.com;joao@hotmail.com
ANTONIO;205;@gmail.com;antonio@gmail.com
FRANCISCO;382;@outlook.com;francisco@outlook.com
CARLOS;230;@gmail.com;carlos@gmail.com
PAULO;11;@yahoo.com;paulo@yahoo.com
PEDRO;67;@gmail.com;pedro@gmail.com
LUCAS;29;@terra.com.br;lucas@terra.com.br
LUIZ;208;@gmail.com;luiz@gmail.com
MARCOS;390;@yahoo.com;marcos@yahoo.com
LUIS;125;@gmail.com;luis@gmail.com
GABRIEL;219;@hotmail.com;gabriel@hotmail.com
RAFAEL;162;@yahoo.com;rafael@yahoo.com
DANIEL;195;@hotmail.com;daniel@hotmail.com
MARCELO;138;@outlook.com;marcelo@outlook.com
BRUNO;293;@hotmail.com;bruno@hotmail.com
EDUARDO;224;@outlook.com;eduardo@outlook.com
FELIPE;113;@yahoo.com;felipe@yahoo.com
RAIMUNDO;70;@gmail.com;raimundo@gmail.com
RODRIGO;133;@yahoo.com;rodrigo@yahoo.com
MANOEL;101;@terra.com.br;manoel@terra.com.br
MATEUS;309;@yahoo.com;mateus@yahoo.com
ANDRE;311;@yahoo.com;andre@yahoo.com
FERNANDO;321;@terra.com.br;fernando@terra.com.br
FABIO;400;@terra.com.br;fabio@terra.com.br
LEONARDO;236;@yahoo.com;leonardo@yahoo.com
GUSTAVO;86;@terra.com.br;gustavo@terra.com.br
GUILHERME;327;@yahoo.com;guilherme@yahoo.com
LEANDRO;302;@yahoo.com;leandro@yahoo.com
TIAGO;267;@terra.com.br;tiago@terra.com.br
ANDERSON;111;@outlook.com;anderson@outlook.com
RICARDO;336;@terra.com.br;ricardo@terra.com.br
MARCIO;322;@gmail.com;marcio@gmail.com
JORGE;330;@outlook.com;jorge@outlook.com
SEBASTIAO;152;@gmail.com;sebastiao@gmail.com
ALEXANDRE;188;@terra.com.br;alexandre@terra.com.br
ROBERTO;364;@terra.com.br;roberto@terra.com.br
EDSON;123;@yahoo.com;edson@yahoo.com
DIEGO;294;@gmail.com;diego@gmail.com
VITOR;132;@terra.com.br;vitor@terra.com.br
SERGIO;139;@terra.com.br;sergio@terra.com.br
CLAUDIO;204;@terra.com.br;claudio@terra.com.br
MATHEUS;93;@gmail.com;matheus@gmail.com
THIAGO;339;@terra.com.br;thiago@terra.com.br
GERALDO;318;@hotmail.com;geraldo@hotmail.com
ADRIANO;196;@hotmail.com;adriano@hotmail.com
LUCIANO;63;@terra.com.br;luciano@terra.com.br
JULIO;210;@outlook.com;julio@outlook.com
RENATO;384;@gmail.com;renato@gmail.com
ALEX;337;@yahoo.com;alex@yahoo.com
VINICIUS;183;@outlook.com;vinicius@outlook.com
ROGERIO;175;@hotmail.com;rogerio@hotmail.com
